speaker,n_comments,mean_score,pct_awry
sawdeanz,58,14.02,20.7
ArmchairSlacktavist,57,16.86,70.2
ItsPandatory,57,14.86,47.4
KevinWester,57,46.95,40.4
Slothjitzu,57,66.19,45.6
CyberneticWhale,56,5.82,32.1
ServingSailor,56,-0.55,50
cherrycokeicee,56,50.02,30.4
mrgoodnighthairdo,56,22.34,57.1
thethoughtexperiment,56,100.16,26.8
Eng_Queen,55,12.15,38.2
LetMeNotHear,55,36.42,56.4
needletothebar,55,2.78,50.9
ToucanPlayAtThatGame,54,29.28,51.9
ZeusThunder369,54,29.52,38.9
dantheman91,54,50.81,50
dudemanwhoa,54,20.74,53.7
page0rz,54,12.76,59.3
Babou_FoxEarAHole,53,15.94,71.7
DjangoUBlackBastard,53,10.08,67.9
PmMeYourDaddy-Issues,53,6.89,60.4
darwin2500,53,51.77,49.1
generic1001,53,17.55,52.8
2r1t,52,27.37,48.1
UncleMeat11,52,31.56,61.5
z3r0shade,52,4.83,63.5
Crafty_Possession_52,51,6.63,54.9
Narrow_Cloud,51,54.24,64.7
NetrunnerCardAccount,51,47.8,43.1
Sirhc978,51,85.9,31.4
cowfishAreReal,51,60.53,58.8
jennysequa,51,33.84,51
tammy-hell,51,6.53,70.6
-AragornElessar-,50,13.56,50
Giblette101,50,10.6,24
GodoftheCopyBooks,50,5.46,78
barthiebarth,50,58.58,72
breckenridgeback,50,23.22,62
direwolf106,50,9.8,68
gremy0,50,63.72,72
jzpenny,50,23.56,50
ACrusaderA,49,14.49,46.9
Major_Lennox,49,5.43,85.7
badoosh123,49,3.45,28.6
colt707,49,4.92,22.4
garnteller,49,115.08,69.4
laconicflow,49,10.41,36.7
riobrandos,49,10.35,67.3
Fit-Order-9468,48,17.1,66.7
Nephisimian,48,25.54,35.4
foot_kisser,48,9.19,50
incruente,48,5,29.2
kublahkoala,48,69.69,31.2
pillbinge,48,10.62,60.4
silverionmox,48,1.46,58.3
dickposner,47,10.81,72.3
hmmwill,47,26.62,55.3
notasnerson,47,18.77,61.7
on_my_lunch_break,47,8.98,70.2
projectaskban,47,9.45,44.7
zuluportero,47,49.23,34
MysticInept,46,45.78,37
RuroniHS,46,31.96,71.7
Shiboleth17,46,2.96,60.9
hashtagboosted,46,11.59,34.8
natha105,46,42.35,45.7
qwertx0815,46,2.96,71.7
s_wipe,46,49.39,39.1
tkyjonathan,46,1.76,45.7
Canada_Constitution,45,55.91,48.9
Littlepush,45,13.82,33.3
ProfessorHeartcraft,45,1.91,86.7
WeepingAngelTears,45,2.42,60
posnfen,45,0.53,44.4
thisdamnhoneybadger,45,3.91,42.2
DBDude,44,3.32,47.7
Hugogs10,44,16.57,75
Intrepid-Client9449,44,0.95,56.8
LysenkoistReefer,44,13.73,27.3
Sagasujin,44,99.07,36.4
Turbo_Donut,44,2.91,45.5
teerre,44,11.34,59.1
tomgabriele,44,6,63.6
47ca05e6209a317a8fb3,43,76.51,44.2
BackAlleySurgeon,43,8.65,48.8
BuddhaPunch1,43,20.12,44.2
Madauras,43,49.6,39.5
Puddinglax,43,14.84,53.5
World_Spank_Bank,43,3.28,34.9
YourViewisBadFaith,43,39.93,86
be_decent_today,43,-0.09,46.5
beer_demon,43,7.77,76.7
icecoldbath,43,5.02,41.9
renoops,43,14.35,55.8
sclsmdsntwrk,43,1.33,41.9
Clouds_are_wet,42,1.71,57.1
Personage1,42,18.88,71.4
Throwaway00000000028,42,8.88,59.5
anewleaf1234,42,34.29,38.1
badabinglove,42,-0.29,52.4
beer2daybong2morrow,42,5.95,47.6
verylittlefinger,42,10.24,73.8
BingBlessAmerica,41,58.27,36.6
BlitzBasic,41,10.93,36.6
Darq_At,41,7.17,29.3
Roller95,41,8.12,31.7
SeymoreButz38,41,1.37,53.7
TheFakeChiefKeef,41,84.95,46.3
WolfBatMan,41,12.61,39
cat_of_danzig,41,9.73,53.7
eggynack,41,12.39,43.9
empurrfekt,41,111.22,46.3
illerThanTheirs,41,9.24,53.7
stubble3417,41,38.83,22
Lox-droplet,40,2.12,57.5
draculabakula,40,4.82,50
icedpickles,40,1.48,50
jumpup,40,62.38,37.5
plushiemancer,40,4.75,67.5
vl99,40,13.45,32.5
