speaker,n_comments,mean_word_count,mean_score
Milskidasith,117,156.3,38.95
Mitoza,213,94.8,5.74
MontiBurns,62,137.7,15.11
Morasain,72,73.1,42.5
Morthra,83,110.1,7.88
MuaddibMcFly,69,141.3,11.54
MysticInept,46,29.1,45.78
Narrow_Cloud,51,108.1,54.24
NearEmu,77,102.8,2.52
Nepene,75,103.5,14.48
Nephisimian,48,127.2,25.54
NetrunnerCardAccount,51,69.3,47.8
Nicolasv2,72,146.3,31.21
NotMyBestMistake,85,81.7,43.49
Personage1,42,123,18.88
PmMeYourDaddy-Issues,53,169.1,6.89
Poo-et,67,92.3,64.04
PreacherJudge,255,107.5,38.46
Prepure_Kaede,62,83.3,2.94
Presentalbion,69,49.6,17.14
PrimeLegionnaire,87,56.9,22.31
Prinnyramza,75,46.9,1.92
ProfessorHeartcraft,45,29.7,1.91
Puddinglax,43,111.7,14.84
Rainbwned,106,48.7,75.27
Roller95,41,27.8,8.12
RuroniHS,46,109.3,31.96
SC803,121,55.9,13.88
Sagasujin,44,87.1,99.07
Salanmander,74,80.4,32.16
ServingSailor,56,28.3,-0.55
SeymoreButz38,41,36.6,1.37
Sheexthro,113,49,2.73
Shiboleth17,46,162.7,2.96
ShiningConcepts,63,99.5,10.35
Sirhc978,51,43.9,85.9
Slothjitzu,57,149.3,66.19
Subtleiaint,84,87.4,6.79
SuckMyBike,59,101.2,9.08
TheFakeChiefKeef,41,182.9,84.95
TheVioletBarry,80,56.7,14.82
Thoth_the_5th_of_Tho,112,85.8,12.2
Throwaway00000000028,42,63.8,8.88
Tibaltdidnothinwrong,91,95.5,82.99
Tino_,72,82.1,12.6
ToucanPlayAtThatGame,54,51.2,29.28
TripRichert,105,81,39.27
Turbo_Donut,44,94.7,2.91
TuskaTheDaemonKilla,75,113.8,71.11
UncleMeat11,52,74.2,31.56
VVillyD,64,85.9,123.97
VertigoOne,59,130,28.78
Vesurel,72,45.3,15.88
WeepingAngelTears,45,35.6,2.42
WolfBatMan,41,79.1,12.61
World_Spank_Bank,43,88.4,3.28
YourViewisBadFaith,43,63.9,39.93
Z7-852,99,66.1,41.06
ZeusThunder369,54,85.7,29.52
anewleaf1234,42,45.3,34.29
anonoman925,64,63.8,7.61
badabinglove,42,36.4,-0.29
badoosh123,49,102.7,3.45
barbodelli,114,99.2,6.84
barthiebarth,50,64.6,58.58
be_decent_today,43,18.8,-0.09
beer2daybong2morrow,42,59.6,5.95
beer_demon,43,92.2,7.77
bguy74,61,136.9,18.79
breckenridgeback,50,164.2,23.22
cacheflow,69,55.8,57.8
caine269,65,119,7.68
cat_of_danzig,41,88.8,9.73
caw81,66,79.4,25.61
cdb03b,168,58.6,17.64
chadonsunday,70,229.4,25.04
championofobscurity,154,166.8,22.64
cherrycokeicee,56,77.8,50.02
colt707,49,64.2,4.92
cowfishAreReal,51,32.4,60.53
cupcakesarethedevil,81,37.2,14.95
dantheman91,54,110.6,50.81
darwin2500,53,150.1,51.77
destro23,101,100.1,83.5
dickposner,47,94,10.81
direwolf106,50,96.9,9.8
draculabakula,40,121.6,4.82
drpussycookermd,97,56.9,27.45
dublea,149,88.9,39.44
dudemanwhoa,54,87.2,20.74
edwardlleandre,225,200.4,52.56
eggynack,41,130.9,12.39
empurrfekt,41,71.7,111.22
foot_kisser,48,259,9.19
forestfly1234,133,67.1,5.41
fox-mcleod,254,107.3,65.4
garnteller,49,133.9,115.08
generic1001,53,80.5,17.55
gothpunkboy89,103,95.8,13.47
gremy0,50,66.7,63.72
hacksoncode,182,90.4,44.09
hashtagboosted,46,38.8,11.59
hmmwill,47,130.5,26.62
huadpe,67,128.3,84.43
iamintheforest,87,107.6,53.09
icecoldbath,43,90.7,5.02
icedpickles,40,54.9,1.48
illerThanTheirs,41,70,9.24
in_cavediver,102,162.5,22.28
incruente,48,125,5
iwfan53,165,85.8,22.41
jatjqtjat,66,140.5,60.02
jennysequa,51,58.4,33.84
joopface,63,97.5,97
jt4,88,67.4,42.47
jumpup,40,74.4,62.38
jzpenny,50,132,23.56
kublahkoala,48,93.9,69.69
laconicflow,49,136.7,10.41
malachai926,81,118.8,13
mfDandP,89,64.5,24.73
miguelguajiro,154,46.6,32.72
moonflower,97,48.6,3.96
morerandom2020,70,45.9,-0.07
mrgoodnighthairdo,56,62.9,22.34
muyamable,110,69.6,52.93
natha105,46,133.8,42.35
needletothebar,55,39.7,2.78
notasnerson,47,105.6,18.77
nowthatsucks,92,78,6.16
on_my_lunch_break,47,101.1,8.98
page0rz,54,92.9,12.76
parentheticalobject,60,81.8,22.98
pillbinge,48,121.3,10.62
plushiemancer,40,29.6,4.75
posnfen,45,55.9,0.53
professorcap987,65,106.8,32.49
projectaskban,47,31.5,9.45
prollywannacracker,87,48.9,66.95
qwertx0815,46,50.2,2.96
radialomens,141,123.5,14.01
ralph-j,130,90,13.6
renoops,43,47.9,14.35
riobrandos,49,90.3,10.35
s_wipe,46,79.1,49.39
sailorbrendan,69,66.4,47.13
sapphireminds,60,64.1,58.08
sawdeanz,58,105,14.02
sclsmdsntwrk,43,133.8,1.33
scottevil110,178,119.3,53.77
silverionmox,48,233.4,1.46
speedyjohn,65,55.1,12.86
stubble3417,41,112.7,38.83
tammy-hell,51,44.6,6.53
tbdabbholm,103,46.8,33.4
teerre,44,72.8,11.34
thetasigma4,64,167.9,9.31
thethoughtexperiment,56,223,100.16
thinkingpains,72,116.7,22.62
thisdamnhoneybadger,45,56,3.91
tkyjonathan,46,51.1,1.76
toldyaso,63,126.3,1
tomgabriele,44,95.9,6
verylittlefinger,42,67.1,10.24
vettewiz,153,38.4,6.29
vl99,40,147.5,13.45
waldrop02,161,71.3,12.47
xmuskorx,59,49.2,79.54
yyzjertl,324,67.3,15.08
z3r0shade,52,97.3,4.83
zuluportero,47,78.1,49.23
