speaker,n_comments,max_delta,delta_rate
VVillyD,64,91,1.4219
anonoman925,64,32,0.5
thetasigma4,64,83,1.2969
MMAchica,63,8,0.127
ShiningConcepts,63,22,0.3492
joopface,63,154,2.4444
toldyaso,63,68,1.0794
Feathring,62,74,1.1935
MontiBurns,62,213,3.4355
Prepure_Kaede,62,28,0.4516
ElysiX,61,92,1.5082
HijacksMissiles,61,35,0.5738
bguy74,61,187,3.0656
Bookwrrm,60,36,0.6
CheesecakeMedium8500,60,7,0.1167
parentheticalobject,60,102,1.7
sapphireminds,60,41,0.6833
SuckMyBike,59,16,0.2712
VertigoOne,59,59,1
xmuskorx,59,55,0.9322
AloysiusC,58,4,0.069
AlwaysABride,58,21,0.3621
Ardonpitt,58,221,3.8103
sawdeanz,58,171,2.9483
ArmchairSlacktavist,57,11,0.193
ItsPandatory,57,56,0.9825
KevinWester,57,100,1.7544
Slothjitzu,57,28,0.4912
CyberneticWhale,56,26,0.4643
ServingSailor,56,1,0.0179
cherrycokeicee,56,45,0.8036
mrgoodnighthairdo,56,25,0.4464
thethoughtexperiment,56,275,4.9107
Eng_Queen,55,65,1.1818
LetMeNotHear,55,87,1.5818
needletothebar,55,10,0.1818
ToucanPlayAtThatGame,54,44,0.8148
ZeusThunder369,54,18,0.3333
dantheman91,54,19,0.3519
dudemanwhoa,54,42,0.7778
page0rz,54,30,0.5556
Babou_FoxEarAHole,53,11,0.2075
DjangoUBlackBastard,53,19,0.3585
PmMeYourDaddy-Issues,53,22,0.4151
darwin2500,53,164,3.0943
generic1001,53,27,0.5094
2r1t,52,40,0.7692
UncleMeat11,52,54,1.0385
z3r0shade,52,47,0.9038
Crafty_Possession_52,51,15,0.2941
Narrow_Cloud,51,26,0.5098
NetrunnerCardAccount,51,109,2.1373
Sirhc978,51,64,1.2549
cowfishAreReal,51,11,0.2157
jennysequa,51,80,1.5686
tammy-hell,51,8,0.1569
-AragornElessar-,50,NA,NA
Giblette101,50,19,0.38
GodoftheCopyBooks,50,9,0.18
barthiebarth,50,21,0.42
breckenridgeback,50,33,0.66
direwolf106,50,29,0.58
gremy0,50,71,1.42
jzpenny,50,31,0.62
ACrusaderA,49,86,1.7551
Major_Lennox,49,39,0.7959
badoosh123,49,3,0.0612
colt707,49,58,1.1837
garnteller,49,241,4.9184
laconicflow,49,25,0.5102
riobrandos,49,11,0.2245
Fit-Order-9468,48,65,1.3542
Nephisimian,48,136,2.8333
foot_kisser,48,24,0.5
incruente,48,NA,NA
kublahkoala,48,229,4.7708
pillbinge,48,100,2.0833
silverionmox,48,20,0.4167
dickposner,47,3,0.0638
hmmwill,47,56,1.1915
notasnerson,47,20,0.4255
on_my_lunch_break,47,18,0.383
projectaskban,47,41,0.8723
zuluportero,47,34,0.7234
MysticInept,46,15,0.3261
RuroniHS,46,39,0.8478
Shiboleth17,46,21,0.4565
hashtagboosted,46,10,0.2174
natha105,46,66,1.4348
qwertx0815,46,5,0.1087
s_wipe,46,46,1
tkyjonathan,46,2,0.0435
Canada_Constitution,45,207,4.6
Littlepush,45,36,0.8
ProfessorHeartcraft,45,12,0.2667
WeepingAngelTears,45,1,0.0222
posnfen,45,19,0.4222
thisdamnhoneybadger,45,7,0.1556
DBDude,44,87,1.9773
Hugogs10,44,3,0.0682
Intrepid-Client9449,44,NA,NA
LysenkoistReefer,44,14,0.3182
Sagasujin,44,207,4.7045
Turbo_Donut,44,NA,NA
teerre,44,40,0.9091
tomgabriele,44,44,1
47ca05e6209a317a8fb3,43,132,3.0698
BackAlleySurgeon,43,33,0.7674
BuddhaPunch1,43,10,0.2326
Madauras,43,87,2.0233
Puddinglax,43,72,1.6744
World_Spank_Bank,43,12,0.2791
YourViewisBadFaith,43,19,0.4419
be_decent_today,43,NA,NA
beer_demon,43,33,0.7674
icecoldbath,43,62,1.4419
renoops,43,18,0.4186
sclsmdsntwrk,43,3,0.0698
Clouds_are_wet,42,3,0.0714
Personage1,42,34,0.8095
Throwaway00000000028,42,22,0.5238
anewleaf1234,42,22,0.5238
badabinglove,42,NA,NA
beer2daybong2morrow,42,7,0.1667
verylittlefinger,42,9,0.2143
BingBlessAmerica,41,44,1.0732
BlitzBasic,41,41,1
Darq_At,41,23,0.561
Roller95,41,6,0.1463
SeymoreButz38,41,9,0.2195
TheFakeChiefKeef,41,78,1.9024
WolfBatMan,41,14,0.3415
cat_of_danzig,41,10,0.2439
eggynack,41,26,0.6341
empurrfekt,41,58,1.4146
illerThanTheirs,41,34,0.8293
stubble3417,41,54,1.3171
Lox-droplet,40,3,0.075
draculabakula,40,43,1.075
icedpickles,40,NA,NA
jumpup,40,71,1.775
plushiemancer,40,14,0.35
vl99,40,75,1.875
